itemset,count,support,k
"('romantic',)",976,0.04444646841841614,1
"('getting',)",969,0.04412769251787422,1
"('bit',)",957,0.04358121954551664,1
"('emotional',)",941,0.04285258891570654,1
"('quite',)",941,0.04285258891570654,1
"('strong',)",931,0.04239719477207523,1
"('May',)",924,0.04207841887153331,1
"('kind',)",918,0.04180518238535452,1
"('daily',)",916,0.04171410355662826,1
"('Do',)",913,0.041577485313538866,1
"('making',)",912,0.041531945899175735,1
"('everything',)",908,0.04134978824172321,1
"('because',)",905,0.041213169998633815,1
"('seem',)",898,0.040894394098091896,1
"(""you've"",)",894,0.04071223644063937,1
"('put',)",883,0.04021130288264493,1
"('next',)",875,0.039846987567739876,1
"('together',)",875,0.039846987567739876,1
"('Enjoy',)",869,0.03957375108156109,1
"('stay',)",861,0.03920943576665604,1
"(""you'll"",)",856,0.03898173869484038,1
"('friend',)",856,0.03898173869484038,1
"('order',)",851,0.038754041623024725,1
"('wonderful',)",842,0.03834418689375654,1
"('social',)",834,0.03797987157885149,1
"('probably',)",828,0.037706635092672705,1
"('chance',)",828,0.037706635092672705,1
"('astral',)",821,0.037387859192130786,1
"('focus',)",819,0.03729678036340452,1
"('say',)",810,0.03688692563413634,1
"('deal',)",807,0.03675030739104695,1
"('open',)",807,0.03675030739104695,1
"('comes',)",802,0.0365226103192313,1
"('full',)",797,0.03629491324741564,1
"('thinking',)",797,0.03629491324741564,1
"('days',)",797,0.03629491324741564,1
"('Love',)",796,0.03624937383305251,1
"('Friends',)",794,0.03615829500432625,1
"('difficult',)",792,0.036067216175599985,1
"('share',)",792,0.036067216175599985,1
"('benefit',)",785,0.035748440275058066,1
"('busy',)",783,0.0356573614463318,1
"('though',)",782,0.03561182203196867,1
"('romance',)",782,0.03561182203196867,1
"('July',)",780,0.03552074320324241,1
"('start',)",778,0.03542966437451615,1
"('happy',)",777,0.035384124960153016,1
"('between',)",776,0.035338585545789884,1
"('Have',)",774,0.03524750671706362,1
"('far',)",770,0.035065349059611096,1
"('use',)",769,0.035019809645247965,1
"('Work',)",769,0.035019809645247965,1
"('summer',)",769,0.035019809645247965,1
"('configuration',)",761,0.034655494330342915,1
"('personal',)",760,0.03460995491597978,1
"('June',)",756,0.03442779725852726,1
"('every',)",754,0.034336718429800996,1
"('working',)",748,0.03406348194362221,1
"('future',)",747,0.034017942529259076,1
"('become',)",747,0.034017942529259076,1
"('close',)",744,0.03388132428616968,1
"('water',)",740,0.03369916662871716,1
"('dreams',)",739,0.033653627214354026,1
"('old',)",735,0.0334714695569015,1
"('People',)",729,0.03319823307072271,1
"('success',)",728,0.03315269365635958,1
"('makes',)",717,0.03265176009836514,1
"(""today's"",)",714,0.03251514185527574,1
"('extra',)",712,0.03242406302654948,1
"('progress',)",710,0.03233298419782322,1
"('else',)",709,0.03228744478346009,1
"('September',)",708,0.032241905369096956,1
"('rather',)",706,0.03215082654037069,1
"('ways',)",705,0.03210528712600756,1
"('Keep',)",698,0.03178651122546564,1
"('without',)",697,0.03174097181110251,1
"('creative',)",695,0.03164989298237625,1
"('high',)",692,0.031513274739286855,1
"('diet',)",690,0.03142219591056059,1
"('positive',)",686,0.031240038253108064,1
"('still',)",680,0.030966801766929276,1
"('easy',)",679,0.030921262352566144,1
"('celestial',)",677,0.030830183523839882,1
"('move',)",676,0.03078464410947675,1
"('clear',)",671,0.030556947037661094,1
"('done',)",668,0.030420328794571704,1
"('instead',)",668,0.030420328794571704,1
"('place',)",664,0.03023817113711918,1
"('relationships',)",663,0.030192631722756047,1
"('trying',)",657,0.02991939523657726,1
"('enough',)",654,0.029782776993487865,1
"('career',)",653,0.029737237579124734,1
"('physical',)",652,0.029691698164761603,1
"('play',)",651,0.02964615875039847,1
"('each',)",649,0.02955507992167221,1
"(""aren't"",)",641,0.02919076460676716,1
"('emotions',)",641,0.02919076460676716,1
"('thing',)",637,0.029008606949314633,1
"('means',)",636,0.028963067534951502,1
"('plans',)",633,0.028826449291862108,1
"('But',)",629,0.028644291634409583,1
"('usual',)",624,0.028416594562593926,1
"('idea',)",620,0.0282344369051414,1
"('spend',)",620,0.0282344369051414,1
"('ready',)",614,0.027961200418962613,1
"('different',)",611,0.02782458217587322,1
"('past',)",611,0.02782458217587322,1
"('later',)",608,0.027687963932783825,1
"('seems',)",606,0.027596885104057563,1
"('point',)",604,0.0275058062753313,1
"('brings',)",604,0.0275058062753313,1
"(""doesn't"",)",602,0.027414727446605038,1
"('same',)",602,0.027414727446605038,1
"('turn',)",601,0.027369188032241906,1
"('never',)",601,0.027369188032241906,1
"('surprise',)",599,0.027278109203515644,1
"('taking',)",599,0.027278109203515644,1
"('problem',)",599,0.027278109203515644,1
"('approach',)",597,0.02718703037478938,1
"('matters',)",596,0.02714149096042625,1
"(""year's"",)",592,0.026959333302973724,1
"('powerful',)",591,0.026913793888610593,1
"('another',)",591,0.026913793888610593,1
"('lucky',)",588,0.0267771756455212,1
"('during',)",587,0.026731636231158068,1
"('looking',)",585,0.026640557402431805,1
"('opportunities',)",584,0.026595017988068674,1
"('With',)",584,0.026595017988068674,1
"('When',)",582,0.02650393915934241,1
"('true',)",581,0.02645839974497928,1
"('real',)",579,0.026367320916253018,1
"('support',)",579,0.026367320916253018,1
"('smart',)",579,0.026367320916253018,1
"('careful',)",578,0.026321781501889886,1
"(""isn't"",)",575,0.026185163258800492,1
"(""You'll"",)",575,0.026185163258800492,1
"('deep',)",575,0.026185163258800492,1
"('fresh',)",574,0.02613962384443736,1
"('issues',)",572,0.0260485450157111,1
"('position',)",572,0.0260485450157111,1
"('matter',)",565,0.02572976911516918,1
"('talk',)",565,0.02572976911516918,1
"('relax',)",564,0.025684229700806048,1
"('pay',)",564,0.025684229700806048,1
"('yours',)",562,0.025593150872079785,1
"('learn',)",561,0.025547611457716654,1
"('meet',)",560,0.025502072043353523,1
"('nature',)",558,0.02541099321462726,1
"('happen',)",557,0.02536545380026413,1
"('plenty',)",556,0.025319914385900998,1
"('part',)",555,0.025274374971537866,1
"('such',)",555,0.025274374971537866,1
"('control',)",551,0.02509221731408534,1
"('Get',)",550,0.02504667789972221,1
"('routine',)",550,0.02504667789972221,1
"('Stay',)",547,0.024910059656632816,1
"('What',)",546,0.024864520242269685,1
"('mean',)",543,0.02472790199918029,1
"('break',)",539,0.024545744341727765,1
"('run',)",538,0.024500204927364634,1
"('gives',)",538,0.024500204927364634,1
"('Perhaps',)",537,0.024454665513001503,1
"('plan',)",537,0.024454665513001503,1
"('always',)",536,0.02440912609863837,1
"('goals',)",535,0.02436358668427524,1
"('under',)",533,0.024272507855548978,1
"('again',)",530,0.024135889612459584,1
"('public',)",529,0.024090350198096452,1
"('fall',)",526,0.02395373195500706,1
"('set',)",526,0.02395373195500706,1
"('sensitive',)",526,0.02395373195500706,1
"('side',)",524,0.023862653126280796,1
"('once',)",523,0.023817113711917665,1
"('atmosphere',)",520,0.02368049546882827,1
"('head',)",520,0.02368049546882827,1
"('power',)",516,0.023498337811375745,1
"('certainly',)",515,0.023452798397012614,1
"('everyone',)",514,0.023407258982649483,1
"('planets',)",513,0.02336171956828635,1
"('serious',)",513,0.02336171956828635,1
"(""can't"",)",511,0.02327064073956009,1
"('luck',)",508,0.023134022496470695,1
"('ahead',)",504,0.02295186483901817,1
"('ask',)",504,0.02295186483901817,1
"('within',)",502,0.022860786010291907,1
"('job',)",501,0.022815246595928776,1
"('air',)",497,0.02263308893847625,1
"('until',)",495,0.022542010109749988,1
"('conversation',)",495,0.022542010109749988,1
"('forward',)",492,0.022405391866660594,1
"('small',)",490,0.02231431303793433,1
"('Use',)",488,0.02222323420920807,1
"('yoga',)",488,0.02222323420920807,1
"('calm',)",487,0.022177694794844938,1
"('inner',)",486,0.022132155380481806,1
"('thoughts',)",483,0.021995537137392412,1
"('interest',)",483,0.021995537137392412,1
"('words',)",481,0.02190445830866615,1
"('involved',)",481,0.02190445830866615,1
"('act',)",478,0.021767840065576756,1
"('Give',)",478,0.021767840065576756,1
"('quiet',)",478,0.021767840065576756,1
"('mood',)",477,0.021722300651213625,1
"('eat',)",477,0.021722300651213625,1
"('improve',)",476,0.021676761236850493,1
"('had',)",475,0.021631221822487362,1
"('step',)",471,0.021449064165034837,1
"('light',)",468,0.021312445921945443,1
"('action',)",465,0.02117582767885605,1
"('late',)",464,0.021130288264492918,1
"('slow',)",463,0.021084748850129786,1
"('whatever',)",463,0.021084748850129786,1
"('balance',)",463,0.021084748850129786,1
"('understand',)",458,0.02085705177831413,1
"('information',)",458,0.02085705177831413,1
"('consider',)",457,0.020811512363951,1
"('whole',)",457,0.020811512363951,1
"('nothing',)",455,0.020720433535224736,1
"('coming',)",455,0.020720433535224736,1
"('Just',)",455,0.020720433535224736,1
"('actually',)",455,0.020720433535224736,1
"('However',)",453,0.020629354706498473,1
"('touch',)",452,0.020583815292135342,1
"('respect',)",451,0.02053827587777221,1
"('passion',)",451,0.02053827587777221,1
"('ones',)",449,0.020447197049045948,1
"('exciting',)",448,0.020401657634682817,1
"('company',)",447,0.020356118220319686,1
"('maybe',)",446,0.020310578805956554,1
"('generous',)",445,0.020265039391593423,1
"('changes',)",444,0.02021949997723029,1
"('having',)",443,0.02017396056286716,1
"('notice',)",443,0.02017396056286716,1
"('ability',)",442,0.02012842114850403,1
"('To',)",442,0.02012842114850403,1
"('to', 'you')",19368,0.8820073773851268,2
"('the', 'you')",17790,0.8101461815201056,2
"('and', 'you')",17749,0.8082790655312173,2
"('the', 'to')",17452,0.7947538594653673,2
"('and', 'to')",17441,0.7942529259073728,2
"('you', 'your')",16652,0.7583223279748622,2
"('a', 'you')",16603,0.7560908966710688,2
"('to', 'your')",16453,0.7492599845165991,2
"('a', 'to')",16375,0.7457079101962749,2
"('and', 'the')",16211,0.7382394462407214,2
"('of', 'you')",15291,0.6963431850266406,2
"('and', 'your')",15242,0.6941117537228472,2
"('the', 'your')",15089,0.687144223325288,2
"('a', 'and')",15042,0.6850038708502209,2
"('a', 'the')",15006,0.6833644519331481,2
"('of', 'to')",14958,0.6811785600437178,2
"('of', 'the')",14162,0.6449291862106653,2
"('a', 'your')",14106,0.64237897900633,2
"('and', 'of')",13950,0.6352748303656814,2
"('in', 'you')",13871,0.6316772166309941,2
"('in', 'to')",13524,0.6158750398469875,2
"('of', 'your')",13154,0.599025456532629,2
"('a', 'of')",13132,0.5980235894166401,2
"('in', 'the')",12944,0.5894621795163714,2
"('be', 'you')",12845,0.5849537774944215,2
"('and', 'in')",12831,0.5843162256933376,2
"('be', 'to')",12757,0.5809463090304658,2
"('in', 'your')",12024,0.5475659183022906,2
"('a', 'in')",11976,0.5453800264128603,2
"('is', 'you')",11816,0.5380937201147593,2
"('is', 'to')",11782,0.5365453800264128,2
"('and', 'be')",11713,0.5334031604353568,2
"('be', 'the')",11626,0.5294412313857644,2
"('that', 'you')",11318,0.5154150917619199,2
"('that', 'to')",11071,0.5041668564142265,2
"('in', 'of')",10936,0.49801903547520376,2
"('a', 'be')",10922,0.49738148367411994,2
"('be', 'your')",10885,0.4956965253426841,2
"('is', 'the')",10661,0.4854956965253427,2
"('and', 'is')",10479,0.4772075231112528,2
"('that', 'the')",10120,0.4608588733548887,2
"('is', 'your')",10027,0.45662370781911743,2
"('a', 'is')",9892,0.4504758868800947,2
"('be', 'of')",9883,0.4500660321508265,2
"('with', 'you')",9875,0.4497017168359215,2
"('and', 'that')",9868,0.44938294093537956,2
"('for', 'you')",9707,0.4420510952229154,2
"('to', 'with')",9595,0.4369506808142447,2
"('will', 'you')",9530,0.4339906188806412,2
"('You', 'you')",9507,0.43294321235028915,2
"('may', 'you')",9439,0.42984653217359625,2
"('You', 'to')",9413,0.4286625074001548,2
"('for', 'to')",9391,0.42766064028416595,2
"('a', 'that')",9377,0.4270230884830821,2
"('be', 'in')",9337,0.4252015119085569,2
"('that', 'your')",9321,0.42447288127874677,2
"('to', 'will')",9238,0.42069310988660685,2
"('is', 'of')",9171,0.41764196912427703,2
"('may', 'to')",9155,0.41691333849446693,2
"('and', 'with')",9127,0.4156382348922993,2
"('are', 'you')",9047,0.4119950817432488,2
"('the', 'with')",8958,0.4079420738649301,2
"('and', 'for')",8851,0.4030693565280751,2
"('for', 'the')",8833,0.4022496470695387,2
"('are', 'to')",8714,0.3968304567603261,2
"('of', 'that')",8643,0.39359715834054376,2
"('You', 'the')",8580,0.39072817523566644,2
"('the', 'will')",8524,0.38817796803133114,2
"('and', 'will')",8518,0.3879047315451523,2
"('it', 'you')",8518,0.3879047315451523,2
"('may', 'the')",8518,0.3879047315451523,2
"('and', 'may')",8515,0.38776811330206296,2
"('You', 'and')",8505,0.38731271915843163,2
"('with', 'your')",8470,0.385718839655722,2
"('it', 'to')",8461,0.3853089849264538,2
"('a', 'with')",8449,0.3847625119540963,2
"('this', 'you')",8408,0.3828953959652079,2
"('a', 'for')",8394,0.38225784416412406,2
"('this', 'to')",8319,0.3788423880868892,2
"('for', 'your')",8257,0.37601894439637507,2
"('have', 'you')",8243,0.37538139259529124,2
"('a', 'may')",8133,0.37037205701534676,2
"('have', 'to')",8101,0.36891479575572655,2
"('You', 'a')",8083,0.36809508629719023,2
"('in', 'is')",8049,0.36654674620884375,2
"('You', 'your')",8015,0.3649984061204973,2
"('are', 'the')",7977,0.3632679083746983,2
"('and', 'are')",7974,0.3631312901316089,2
"('will', 'your')",7947,0.3619017259438044,2
"('may', 'your')",7892,0.35939705815383216,2
"('a', 'will')",7854,0.35766656040803313,2
"('and', 'this')",7839,0.35698346919258617,2
"('and', 'it')",7620,0.34701033744706045,2
"('the', 'this')",7619,0.3469647980326973,2
"('of', 'with')",7610,0.3465549433034291,2
"('it', 'the')",7575,0.3449610638007195,2
"('in', 'that')",7558,0.34418689375654626,2
"('or', 'you')",7483,0.34077143767931145,2
"('for', 'of')",7428,0.33826676988933924,2
"('have', 'the')",7392,0.3366273509722665,2
"('are', 'your')",7349,0.33466915615465187,2
"('may', 'of')",7346,0.33453253791156246,2
"('or', 'to')",7339,0.33421376201102054,2
"('on', 'you')",7321,0.33339405255248417,2
"('You', 'of')",7321,0.33339405255248417,2
"('and', 'have')",7316,0.33316635548066853,2
"('of', 'will')",7275,0.33129923949178014,2
"('a', 'this')",7227,0.32911334760234984,2
"('a', 'it')",7218,0.32870349287308165,2
"('a', 'have')",7191,0.3274739286852771,2
"('on', 'to')",7176,0.3267908374698301,2
"('this', 'your')",7166,0.32633544332619885,2
"('in', 'with')",7162,0.3261532856687463,2
"('a', 'are')",7155,0.3258345097682044,2
"('is', 'that')",7149,0.3255612732820256,2
"('it', 'your')",7104,0.32351199963568467,2
"('be', 'may')",7071,0.3220091989617013,2
"('be', 'that')",7056,0.32132610774625436,2
"('for', 'in')",7051,0.32109841067443873,2
"('be', 'is')",7049,0.32100733184571245,2
"('in', 'may')",6897,0.3140853408625165,2
"('have', 'your')",6817,0.310442187713466,2
"('on', 'the')",6785,0.3089849264538458,2
"('are', 'of')",6708,0.3054783915478847,2
"('and', 'or')",6701,0.3051596156473428,2
"('of', 'this')",6698,0.30502299740425337,2
"('be', 'will')",6678,0.3041122091169908,2
"('or', 'the')",6677,0.30406666970262763,2
"('a', 'or')",6602,0.30065121362539277,2
"('or', 'your')",6559,0.29869301880777815,2
"('it', 'of')",6552,0.2983742429072362,2
"('You', 'in')",6537,0.2976911516917892,2
"('be', 'with')",6537,0.2976911516917892,2
"('in', 'will')",6523,0.2970535998907054,2
"('and', 'on')",6509,0.2964160480896216,2
"('on', 'your')",6487,0.2954141809736327,2
"('be', 'for')",6456,0.2940024591283756,2
"('have', 'of')",6331,0.2883100323329842,2
"('in', 'this')",6328,0.28817341408989483,2
"('are', 'in')",6315,0.2875814017031741,2
"('a', 'on')",6299,0.286852771073364,2
"('You', 'be')",6108,0.2781547429300059,2
"('for', 'is')",5967,0.2717336855048044,2
"('of', 'or')",5924,0.26977549068718976,2
"('you', 'yourself')",5873,0.2674529805546701,2
"('in', 'it')",5803,0.26426522154925086,2
"('but', 'you')",5789,0.26362766974816704,2
"('at', 'you')",5772,0.2628534997039938,2
"('can', 'you')",5770,0.2627624208752675,2
"('more', 'you')",5757,0.26217040848854684,2
"('is', 'with')",5728,0.26084976547201605,2
"('The', 'you')",5727,0.2608042260576529,2
"('have', 'in')",5705,0.25980235894166404,2
"('of', 'on')",5700,0.25957466186984834,2
"('to', 'yourself')",5685,0.2588915706544014,2
"('be', 'this')",5645,0.25706999407987613,2
"('be', 'it')",5623,0.25606812696388725,2
"('The', 'to')",5609,0.25543057516280343,2
"('at', 'to')",5594,0.2547474839473564,2
"('in', 'or')",5543,0.25242497381483675,2
"('can', 'to')",5534,0.25201511908556856,2
"('are', 'be')",5525,0.2516052643563004,2
"('to', 'today')",5516,0.2511954096270322,2
"('more', 'to')",5510,0.2509221731408534,2
"('today', 'you')",5495,0.25023908192540645,2
"('is', 'it')",5490,0.25001138485359076,2
"('and', 'yourself')",5450,0.24818980827906553,2
"('but', 'to')",5446,0.248007650621613,2
"('You', 'that')",5438,0.24764333530670796,2
"('and', 'at')",5421,0.24686916526253472,2
"('are', 'that')",5403,0.24604945580399837,2
"('You', 'is')",5397,0.24577621931781957,2
"('and', 'can')",5378,0.24491097044492008,2
"('at', 'the')",5375,0.2447743522018307,2
"('and', 'more')",5372,0.24463773395874128,2
"('for', 'that')",5363,0.24422787922947312,2
"('that', 'will')",5362,0.24418233981510998,2
"('not', 'you')",5358,0.24400018215765745,2
"('the', 'yourself')",5356,0.24390910332893118,2
"('is', 'will')",5326,0.24254292089803725,2
"('are', 'is')",5315,0.2420419873400428,2
"('not', 'to')",5304,0.24154105378204838,2
"('but', 'the')",5304,0.24154105378204838,2
"('time', 'to')",5287,0.24076688373787514,2
"('is', 'this')",5276,0.2402659501798807,2
"('may', 'that')",5275,0.24022041076551756,2
"('time', 'you')",5263,0.23967393779315999,2
"('that', 'with')",5253,0.23921854364952866,2
"('can', 'the')",5252,0.23917300423516555,2
"('and', 'but')",5232,0.23826221594790292,2
"('The', 'and')",5229,0.2381255977048135,2
"('more', 'the')",5155,0.2347556810419418,2
"('The', 'the')",5147,0.23439136572703675,2
"('be', 'have')",5134,0.23379935334031604,2
"('in', 'on')",5072,0.2309759096498019,2
"('You', 'may')",5038,0.22942756956145544,2
"('a', 'at')",5027,0.228926636003461,2
"('can', 'your')",5026,0.22888109658909786,2
"('your', 'yourself')",5023,0.22874447834600847,2
"('be', 'or')",4999,0.22765153240129332,2
"('have', 'that')",4997,0.22756045357256705,2
"('a', 'can')",4972,0.22642196821348878,2
"('at', 'your')",4969,0.22628534997039937,2
"('is', 'may')",4940,0.22496470695386858,2
"('for', 'with')",4911,0.22364406393733777,2
"('the', 'time')",4891,0.22273327565007514,2
"('it', 'that')",4875,0.22200464502026504,2
"('a', 'but')",4874,0.2219591056059019,2
"('could', 'you')",4872,0.22186802677717565,2
"('a', 'yourself')",4844,0.22059292317500798,2
"('a', 'more')",4840,0.22041076551755545,2
"('more', 'your')",4826,0.2197732137164716,2
"('be', 'on')",4823,0.2196365954733822,2
