sign;category;date;horoscope
sagittarius;love;20200617;The current aspect at play may encourage you to be more gullible than usual. If you have someone special in your life, then you may tend to put them on a pedestal and worship them as though they are an immortal being. This may be OK for a while, but eventually you will begin to see that they are very human - be realistic!
scorpio;love;20200617;Although you may find it difficult to string two sentences together, let alone describe to someone exceedingly attractive just how you are feeling, you may be required to do just that anyway. The current celestial energy implies that a misunderstanding may have occurred that requires some discussion. You will have to do the best you can, as to ignore it would not be wise. Just do the best you can.
taurus;love;20200617;You may need to learn how to read between the lines, especially with today's planetary alignment. One relationship may not be quite what it seems, and yet the person you are involved with could be trying to be as kind and accommodating as possible. It could be that they don't want to hurt you, yet they certainly need to get something off their chest!
virgo;love;20200617;Your romantic life takes on very mysterious overtones today, especially with the current astral configuration. You may have had a recent conversation with someone whom you deeply admire and would like to get closer to, and perhaps interpreted their remarks as being more positive than they actually are. You may feel let down in one way, but the alternative may be even better than you had anticipated, as well.
aquarius;love;20200618;Today's celestial energy soothes your ruffled feathers, and makes you feel calm and relaxed enough to enjoy the game of love, which you will no doubt be playing together this evening. Don't allow your fears and phobias to prevent you from expressing the true beauty of who you really are. Forget about your worries and tribulations and focus on your love.
aries;love;20200618;The current planetary energy encourages you to be mildly optimistic about your chances of success as far as a certain person is concerned. Usually you tend to think of most new encounters in a pessimistic light, so that you won't be disappointed if they do not turn out as you expected. Looking on the bright side today will create just the right conditions for you to really enjoy yourself.
cancer;love;20200618;Feelings become more important and are highlighted by today's interplay of astral energies. Allow them to bubble to the surface and tell your loved one everything. If possible, create a wonderful atmosphere by using the right kind of lighting, and aromatic oil burners or incense. Air, space, and light will allow your deeper emotions to soar. You will be high spirits by the end of the evening.
capricorn;love;20200618;You may discover that music is the food of love, with today's celestial energy. In fact, you may unveil a major link between all kinds of nourishment and the ability to create a truly romantic and nurturing atmosphere. If you are entertaining your sweetest love, then go to the limit and you will be well rewarded - they will be very happy to comply with your every request.
gemini;love;20200618;"The current planetary alignment is soothing and restful. You won't have to do anything particularly special to maintain a sense of peace and harmony with your loved one. All you really need to attend to is allowing yourself to unwind enough to speak from your heart without worrying about how your words will be received. Don't try to force a particular result; instead, allow yourself to be open to whatever happens."
leo;love;20200618;Today's astral alignment is a positive omen as far as a talking with someone this evening is concerned. You will find that with virtually no effort at all you will get on extremely well, as though you were always meant to meet. You will both seem to complement each other, and also to understand each other in ways that seem quite extraordinary. You have something quite special here.
libra;love;20200618;Today's interplay of planetary energies means that you have the chance to win your true love over to your way of thinking, chiefly through the use of food. If you can come up with the meal of their dreams, you are definitely onto a winning method, and they will never forget this awesome experience. You may well get the offer you have been waiting for almost immediately.
pisces;love;20200618;Line and texture are very important in the way you dress for an important outing. Today's planetary alignment means your date will be impressed by the attention you pay to your clothes and the way you look in general. As you are skilled in all matters having to do with image, you will surpass all their expectations. Once the grand entrance is over, you can really get to know them.
sagittarius;love;20200618;The current astral alignment may be the answer to making one of your dreams come true regarding a certain person whom you have admired for some time. You will feel less like being obscure and enigmatic in your dealings with them, and much more like openly expressing how much you care. This is a major decision for you, as you are frightened of being so vulnerable.
scorpio;love;20200618;You tune into your feelings that much more easily with the current planetary alignment. And this for you is quite a major feat, as you tend to stand back and ignore them completely, which often results in many complicated situations. Even if you find it alarming to be in tune with your emotions about one person, this will help you to know what your next step should be.
taurus;love;20200618;"Love may not be on the scale of a really grand adventure, especially with the current astral configuration, but it could be very pleasant, nevertheless, and actually quite restful. You often aim for grand passion and excitement, yet you secretly appreciate someone who understands you and wants to be with you even in your quiet moments. It doesn't have to be all go-go-go; you are allowed to slow down."
virgo;love;20200618;Love suddenly becomes a much more interesting and viable proposition with today's planetary configuration. If you have found it hard to curb your impulsive nature with regard to a specific person, you will most likely feel a lot mellower. The frantic approach to love never works, but a more relaxed attitude will most likely get you where you want to be.
aquarius;love;20200619;"You may have to think in much broader and larger terms than you have done in the past. If you want to take advantage of the romantic opportunity that comes your way today, then it may be best if you prepare to change your attitude. The planetary energy may indicate that you have set your focus on too narrow a choice; so widen your scope and you will be rewarded."
aries;love;20200619;You will enjoy the way your love life shifts into a new gear today. The aspect at play could indicate that there is a change in the way that you and your latest partner relate to each other. Needless to say, that things between you look likely to become much more passionate and intense. This is where you excel, so you will certainly have something to celebrate.
cancer;love;20200619;You may be feeling cool and detached as usual, but someone who has had their eye on you for a while certainly isn't. Today's astral energy means that you may have an admirer who is determined to get to know you. You really need to have an honest conversation with them before you make any kind of instant judgments about their attitude. You might actually find them attractive.
capricorn;love;20200619;The current astral energy makes you virtually invincible, which means you could be spoilt for choice in terms of suitable new partners. It seems as though no matter what you do, say, or wear, you won't be able to put a foot wrong. People will find you rapturously attractive and will want to swarm around you to see if your charisma will rub off on them. Lucky you!
gemini;love;20200619;Today's celestial energy may be just what the doctor ordered to enable you to break the ice concerning a relationship that has been haunting you for some time. You may find that one event today helps you to realize that the person in question is only human after all, and that you can safely allow yourself to share your feelings knowing they are in good hands.
leo;love;20200619;The current celestial energy means that romance becomes a very hot topic. If going out on a date is possible, then you had better be prepared for anything and everything, as the intensity of the encounter could melt even the hardest of hearts. This is not say that you are playing hard to get, but if you have been holding back, you could find it impossible to continue.
libra;love;20200619;If you want your love to change from its current boring and predictable status into a lively and passionate affair, then you had better look to yourself to do something about it. The current astral environment means that you will have to take action, and either initiate a conversation or make a few wise choices in order to get the relationship of your dreams. Be bold.
pisces;love;20200619;The current astral configuration may mean you find things get too intense, too quickly. If you are just getting to know someone new, then you may have a hard time trying to contain the pace of events. You like to keep things cool before you allow the heat to be turned up. If you have a problem with this, you will have to be up-front and totally honest.
sagittarius;love;20200619;You may find the pace a little too demanding in terms of your love life, especially with the current celestial energy. If you had been hoping for a quiet evening in with that special someone, then you could be in for quite a surprise. They certainly have other ideas, which could mean a very demanding schedule. If you can't cope, you'll need a very good excuse.
scorpio;love;20200619;The current aspect at play could indicate that a new relationship is about to come roaring into your life, just when you least expected it. If you have been pursuing a lot of romantic options, then you may not know what has hit you until you are already smitten. You have probably been wishing for this on some level or another, so be glad when it happens.
taurus;love;20200619;Things look as though they could go from the sublime to the ridiculous today, especially with the current planetary alignment. You have every reason to feel as though all the rules that you thought you had learned and understood about how relationships work have been completely turned inside out. On this occasion you are moving into the unknown. But this is what you wanted - isn't it?
virgo;love;20200619;The current alignment of the planets makes your relationship into an epic adventure and could bring quite a few changes into your life. If you have just become involved with a new lover, then you are likely to find that things between you are developing at a rapid pace. There will be new horizons and a great deal of passion. Just don't burn yourself out. Try and find some time to rest!
aquarius;love;20200620;The current astral environment may startle you into realizing that life is too short to hold your feelings back any longer concerning one very lucky person. The only problem being that if you attempt to tell them how you feel today, it could all come out sounding rather strange, and you may not believe what you are saying to yourself. Wait a day or two before making any crucial moves.
aries;love;20200620;The current astral energy may disrupt some of your best-laid plans, but there could be a very good reason for this. If you had been determined to follow one set course in a particular relationship, and this isn't in your best interests, then the events that occur could turn things around in quite a dramatic fashion. You may be alarmed at first, but then you will be laughing.
cancer;love;20200620;You thrive on anything that is unexpected or different in any way. So, the current aspect at play may actually do you quite a few favors. If you are able to attend a small party or any other social occasion, expect to be wooed by someone who is a far cry from the kind of person whom you are normally attracted to. You could find yourself involved in a very fascinating conversation.
capricorn;love;20200620;"Partners are decidedly unpredictable today, which may not be made any easier by the alignment of the planets. Whatever you’re able to get out and do, you could find that your plans get shifted and changed about, especially if you have decided to do something together. Don't worry too much; it is the nature of the energy in the atmosphere. Be ready for anything and you could get a wonderful surprise."
gemini;love;20200620;Today's astral configuration may seem to disrupt what appeared to be the beginning of something quite special with another person. But actually, this could mean that you get to fall even more deeply in love than you would have otherwise. Somehow it shows that you are vulnerable and human after all, when your brand-new partner may have actually placed you on a pedestal.
leo;love;20200620;Today's astral energy could mean you have quite an interesting day as far as love and romance is concerned. You could change your mind about one particular person several times in the space of a few hours. In fact, you may be trying to decide between two different people. You won't be able to get any definite answer in this frame of mind. It is better to wait.
libra;love;20200620;Today's planetary energy could prove a surprise. Your latest relationship may take a strange and bizarre twist, which you would not have been able to anticipate in anyway whatsoever. If you have been feeling down at heart or restricted by circumstances beyond your control, then a certain event could prove to be quite liberating in more ways than one. This could be the release you have been seeking!
pisces;love;20200620;If you are attempting to arrange a future social occasion, the current planetary energy may introduce a very unusual and unexpected element into the equation. You may have had some predetermined ideas about how things or even people were going to come together but could find instead that you get a very big surprise. Don't let it worry you - there is a creative element at work.
sagittarius;love;20200620;The current aspect means you have quite an interesting day ahead of you, that is, if you like the feeling of being exposed to a live current. If it’s possible to go out on a first date, then you may find the chemistry between you almost irresistible. This could create a dilemma, as you really do not like to rush anything, least of all intimacy.
scorpio;love;20200620;Your feelings may seem to be all over the place, and possibly affected by the current interplay of planetary energies. One minute you could find yourself very much in love, and the next minute irritated by the way your sweetest love does or says certain things. You could find this fluctuation in your emotions going on for most of the day, so don't make any important relationship decisions. Wait!
taurus;love;20200620;You may think that the events of today will unfold pretty much the same as normal, but you would be wrong. The current planetary alignment could indicate that a disruption may actually be a blessing in disguise, although you probably won't see it in that way. One relationship may go through quite a change that will benefit both of you I more ways than one.
virgo;love;20200620;Things are certainly different, and if you had imagined that the day was going to be much like any other in terms of your love life, then you will have to think again. Current planetary energies mean that anything could happen. In fact, if you prepare for the most bizarre scenario that you could ever come across, you will probably be getting close. However, you will also have fun!
aquarius;love;20200621;You and your lover may appreciate a day out in the country, amidst the peace and harmony of nature, where you can attune yourself to more natural rhythms. This is especially important if you have both been really busy at work. The current aspect at play indicates that taking a break away from the hustle and bustle of life will enable you to feel close to each other once more.
aries;love;20200621;Sometimes it helps to find a positive activity that will bring both you and your loved one even more closely together. Today's astral configuration will do just this, provided that you take the trouble to make the necessary arrangements. If there is a particular project that is dear to your hearts, then decide to get started and enjoy the process. You will be glad you did.
cancer;love;20200621;The current astral energy may not mean that you will experience the most exciting night ever with your loved one, but you will feel at peace in their company for once. You are usually so busy dashing around helping others and giving your support for worthy causes that you often forget your partner also needs you to be around from time to time. Enjoy just being close.
capricorn;love;20200621;The current astral configuration indicates that you can now feel safe about letting someone know how you really feel about them. But there is a time and a place for everything, so don't just open your heart randomly. Prepare a really classy setting and make them a sensational meal, and THEN let it all pour out.
gemini;love;20200621;You can feast on the food of love today, with the current aspect at play, and you will enjoy every minute of it. It may be time to take a relaxing break away from all the stress and tension in your life, forget about all the responsibility, and allow your soul to be free. This will bring you and your honey into a much greater and deeper harmony with each other.
leo;love;20200621;There is a wonderfully soft and flowing energy around, with today's astral configuration. This may be the opportunity that you and your sweetest heart have been waiting for, as it is the perfect time to take a break somewhere where you can really relax and start to feel good about each other again. Create the perfect romantic atmosphere and enjoy a wonderful occasion together.
libra;love;20200621;Don't worry if you don't feel like going out and being active. The astral energy indicates that it may be time to relax and take it easy. You and your loved one may have been through quite a time recently, and it would be far better today to slow down and take things a little easy. Just enjoy being together without doing anything much.
pisces;love;20200621;The current planetary alignment indicates that it is the more material aspects of another person's situation that attract you for once. Normally it is either their sparkling wit and intelligent conversation, or their attractive appearance. But right now, it is unashamedly the amount of money that they earn that is making you come out in goose bumps, although you probably do like aspects of their personality, as well.
sagittarius;love;20200621;You feel very soothed by the current celestial energy, the influence of which is encouraging you to calm down after a recent problem with your loved one. It may even be a good idea to invite them around for a meal, so that you can talk over in a calm and relaxed atmosphere. After this you will probably get on better than ever. So, take that first step!
scorpio;love;20200621;The current planetary energies are signaling you to focus on your everyday material needs, rather than being constantly out and about. If you have been giving your lover a great deal of attention, it is now time to turn the spotlight back on you and do yourself some favors. This could be a great opportunity to really rest and relax or take a break away.
taurus;love;20200621;Today's planetary configuration at least enables you to feel secure in the knowledge that your dearest heart really does care for you very deeply. There is something about the atmosphere around in the air today that helps you to finally relax and take this on trust. You may have found yourself continually doubting their words, but at last feel as though it is actually true.
virgo;love;20200621;The astral alignment encourages you to slow down and appreciate what you now have in terms of your current relationship. You sometimes tend to wonder if the grass may be greener on the other side, and if there could be someone else better suited to your deeper needs. However, there is no perfect person, so enjoy the experience you are having!
aquarius;love;20200622;The current planetary energy could be enough to cause a disagreement between you and your loved one if you are not careful as to how you phrase certain things. If you have lately undertaken a large project, then you may have both been under a great deal of strain that is now beginning to show. Recognize this and allow yourselves to unwind. Be prepared to see the funny side.
aries;love;20200622;Today's celestial energy may encourage the kind of conversation with your loved one that is both humorous, yet also very pointed. You have obviously realized by now that you need to talk to them about one particular issue that has been bothering you for some time. But the way that you choose to do so could make a world of difference. A touch of laughter will help enormously.
cancer;love;20200622;Your love life may respond very well to a dose of humor, but what it doesn't need is sarcasm. The current astral energies may mean that the line between the two becomes very thin, and this may not help the current state of your relationship. If you are feeling hurt in any way, then it is best to express this directly rather than create even more problems.
capricorn;love;20200622;If you are able to go out on a first date this evening, don't let a disparaging remark put you off this person for good. The astral energy indicates that they may not have realized quite what they were saying, due to being slightly nervous and ill at ease. Give them the benefit of the doubt, and you may find them extremely good company. Don't do anything drastic.
gemini;love;20200622;Today's planetary configuration indicates that you need to strike a balance between making the kind of dry, pointed jokes that you are so fond of, and being sincere. If you are getting to know someone new, they may not understand how your sense of humor works, so it might be wise to cut down on these kinds of remarks and enjoy some wonderful conversation instead.
leo;love;20200622;Today's planetary alignment indicates that you need to let off steam after a rather trying time in which you and your lover have tried to resolve certain issues. In order to do this, it would be better if you both made a meal together or watched a funny movie together. But don't take it out on each other, as this could spoil all you have achieved.
libra;love;20200622;Today's aspect could indicate that you are of two minds about a person with whom you have been thinking of forming a relationship, simply because they bring out some very strange reactions in you. On the one hand, you see them as a source of amusement, and on the other, you find them at times extremely irritating. Only you can decide if it's worth it.
pisces;love;20200622;You won't get very far without some sense of humor today, especially with the current astral alignment. If you can bring yourself to smile at your loved one, even if you feel like strangling them, this will help enormously to keep the temperature from getting too overheated. The incident is not actually that important, so don't allow it to affect you. Life is far too short.
sagittarius;love;20200622;Today's celestial energy could indicate that you take one remark far too personally, when it was not meant to be a criticism in any way whatsoever. Your latest lover has not realized quite how sensitive you really are, and presumed you would find it funny. In order for this relationship to work, you are going to have to educate them about what is acceptable and what isn't.
scorpio;love;20200622;A sense of humor is one thing, but sometimes this can backfire, as you may find out with today's astral alignment. Some people are quite sensitive to off the cuff remarks, and the person in question, who also happens to be someone you greatly admire, may mark this down as a point against you. It may be best to watch your tongue in the future.
taurus;love;20200622;Don't even think about making any of those jokes that just roll off your tongue so easily. The current astral energy indicates that it will be far too easy to irritate someone whom you are in the process of getting closer to. As the relationship is at such a delicate stage, it would be wise to hold back. Laugh with them rather than at them.
virgo;love;20200622;You may find that you have a choice as to how you react to a certain event concerning your love life that occurs today. With the current planetary energy, you could either take a more serious approach, and criticize your partner for the way they handled a specific situation, or you could also realize that it really is not that big a deal and choose to laugh instead.
aquarius;love;20200623;You may benefit from some time alone today, with the current astral energy. This could be quite a positive experience, especially as you may need to reflect on what it is that you actually want from your current relationship. Rather than causing any harm, it will enable you to connect with how you really feel deep in your heart, which is what you need to know right now.
aries;love;20200623;If you’re able to meet face-to-face with a date this evening, you might find that they are a completely different person from how you imagined they would be. The celestial energy indicates that they are likely to come across as being much more conservative and older than yourself, even if they are a little younger in years. But don't immediately dismiss them, as they will definitely brighten up as the evening wears on.
cancer;love;20200623;Today's astral configuration may help you to formulate a workable plan for the future, rather than finding yourself totally mesmerized by the thought of what is to come. If you are right at the start of a very promising relationship, then you will need to think carefully about where you want it to go. This in turn means an in-depth discussion with the one you love.
capricorn;love;20200623;The current aspect at play may mean that you appear dourer than you actually feel. It is not that you are particularly upset by anything, but more that you have a lot on your mind that you need to think about. Your lover may take this as a sign that you are somehow not interested, so you will need to show that this is not the case.
gemini;love;20200623;Don't dig yourself into a pit today, especially with the current celestial energy. There could be a temptation to sink into one of your gloomier frames of mind, and so miss out on an opportunity to meet someone rather special. If you are able to get out and do something social, then this would do you a great deal of good.
leo;love;20200623;You and your loved one will certainly benefit from making plans together for the future, and with the current planetary energy, the more detailed and involved they are, the better. You will obtain a great deal of benefit from any project you both undertake, as it will bring you closer together and give you something positive to aim for. You will be glad you made the initial effort.
libra;love;20200623;"You may be feeling slightly more tongue-tied than usual, with the current aspect at play, but don't let it stop you from letting your partner know about the deepening sense of commitment that you wish to bring to the relationship. This needs some talking through if you are seriously considering making the arrangement become more permanent. Don't allow yourselves to be too pessimistic; otherwise you may not go ahead."
pisces;love;20200623;The current astral energy may give you much cause for thought, especially if you are considering deepening the bond in your current relationship. If this is the case, then some serious discussion lies ahead. But don't allow yourselves to be put off by thinking too hard about all the difficulties that lie ahead. It is better to be positive, as this will encourage you to be bolder.
sagittarius;love;20200623;You have absolutely no reason to withdraw and hide, other than you fear the worst when it comes to an important relationship. The current planetary configuration is encouraging in that it implies that if you are prepared to face up to the thing that is giving you such problems, you will discover that a lot of it was in your imagination. Be bold!
scorpio;love;20200623;The current astral configuration makes conversation more serious than usual and may mean that you and your loved one find yourselves discussing some very interesting issues. You could get the chance to completely sort out one particular problem for good, but you will also have to overcome certain innate fears in order to do so. Taking that first step will improve your relationship no end.
taurus;love;20200623;The current astral energy may be just what you need to get you to calm down and take responsibility for your part in the relationship in which you are currently involved. Sometimes you can be very hard to pin down, especially when problems arise, or the going seems to get tough. Right now, you can contribute positively by listening to what your partner has to say.
virgo;love;20200623;The alignment of the planets may create a somewhat somber atmosphere between you and your loved one, which could make you both feel as though the relationship is just not working. It may be better not to let this feeling get to you, as you could be tempted to give up. If necessary, spend some time alone and then talk again tomorrow. It will be fine.
aquarius;love;20200624;Love has more to do with ideas than passion and romance, especially with today's astral configuration. However, it may be while researching an interest that you find yourself deep in conversation with someone who really makes a big impression on you. You will have to find a more interesting setting in which to carry on the conversation - which could on for a very long time.
aries;love;20200624;This is really a day for conversation and discussion, rather than passion. The current alignment of planets indicates that if you have been going through a rough time in your current relationship, then this is the perfect opportunity to talk about it and sort things out. Discussing it over a meal and a glass of wine, if possible, may help you get to the heart of the matter.
cancer;love;20200624;The current astral energy is ideal for arranging a conversation with like-minded individuals. But as far your love life goes, you are looking for someone who is not at all like your usual friends. They will need to be quite unique in their attitude toward and outlook on life. So, make sure to also include some likely candidates in your guest list. The discussions will be mind-blowing.
capricorn;love;20200624;Current planetary energies create the perfect atmosphere for a party or impromptu get-together, if possible, as everyone will be open to meeting and getting involved with everyone else. If you will be spending time talking with someone whom you are interested in for more personal reasons, then you will find that you have a natural rapport and seem to be able to discuss just about anything together. You could make a great couple.
gemini;love;20200624;Rather than continuing with the same old routine, why not make time to talk to your loved one and find out how they really are. The current planetary configuration indicates that this is the ideal opportunity to discuss anything and everything that needs sorting out. If you can combine this with an outing to one of your favorite beauty spots, if possible, or share a meal together, so much the better.
leo;love;20200624;Although you prefer to keep an air of mystery about you, today's aspect may mean someone will be very keen to find out as much about you as possible and may leave no stone unturned in order to do so. Yet even though you both share many fascinating discussions, they get no nearer to understanding what truly makes you tick - which is just as you like it.
libra;love;20200624;Although you often prefer to eat when you feel gloomy, it may be better to arrange for an evening of fun and entertainment. The current astral energy indicates that if you are looking for love, you may meet someone with the right potential in a social setting, if possible. But nothing will happen if you stay at home and watch television.
pisces;love;20200624;Today's planetary alignment creates the perfect atmosphere for getting to know someone better. It will be just the way you like it, with no threat of getting too passionate. You can talk about your feelings and dissect your previous relationships with your razor-sharp mind, without having to get really involved. You can say what you should have done and discuss your future hopes whilst still remaining relatively superficial.
sagittarius;love;20200624;You may do a great deal of thinking about a certain relationship, especially with a today's planetary energy. The trick is to try and connect your mind with your heart, and not focus on one to the exclusion of the other. Then what you really feel deep in your heart will be more easily translatable into words. If you can express your deeper emotions, you can resolve many things.
scorpio;love;20200624;The current astral configuration is perfect for a day and night of sheer fun. You certainly won't feel like staying in alone and will benefit immensely from getting involved with others in matters that interest you greatly. If you have been looking for romance, then one conversation may seem to hold great potential. Don't expect things to develop quickly - but they can if you are really interested.
taurus;love;20200624;Today's planetary energy means that you have a golden opportunity to get to know someone much better, as fate steps in and brings you face-to-face with them. Although your intuition tells you that there is definite potential in this connection, it is not until you start a conversation that you appreciate just how much. You find each other intriguing and delightful.
virgo;love;20200624;The current planetary alignment means that socializing and generally getting out and about is the answer to any problems you are having in regard to your love life today. Whether you are single or already in a partnership, the influx of new ideas generated by meeting new people and the kind of conversations that this sparks off will really boost your moral. You will feel refreshed, uplifted, and ready for anything.
aquarius;love;20200625;If your love life has been going through a dry and dusty spell, with no suitable partner in sight, then take heart. The current aspect may bring a shower of romance right up to your very door. But you will need to be prepared. This means taking a good look at your motives for wanting to become involved and concentrating on those that resonate with your deepest desires.
aries;love;20200625;Although there is the potential for passion in the air with today's planetary energies, it will tend to be low key, even if very intense. You and your loved one may not have been seeing each other for very long, but you both know that you are serious about this relationship. There is a certain depth between you that neither of you have ever felt before.
cancer;love;20200625;The current aspect at play may mean that you have an opportunity to share your tender feelings with the person who has recently stolen your heart. Up to this point, any discussions between you may have been purely intellectual and probably very enjoyable. However, today you may decide to take a risk and share from your heart, which can only be a good thing, and which they will appreciate.
capricorn;love;20200625;Today's alignment of the planets may mean that you now know just how much someone feels about you, as they will find the courage today to finally let you know. This will be most reassuring, as you probably found it hard to work out quite what was going on inside them and were often not at all sure whether the relationship was truly on or off.
gemini;love;20200625;Don't worry too much about how your date will go if you’re able to go on one tonight, because the chances are that with today's celestial energies, it will all go very well. There is very tender and sweet atmosphere in the air, so that even if you did initially become interested because it might help you further your career, you will actually like them very much anyway. So, relax and have a great time.
leo;love;20200625;There is ample opportunity to spread your wings and soar into romantic heaven, with today's astral energy. If you are already in a permanent relationship, then you will find ways to strengthen the bond between you, and to be thankful for the gifts you bring to each other. If you are looking for a lover, then you may have a better chance if you become involved in helping others.
