ID,sign,category,date,horoscope
275,aries,general,20210318,"Discussions with close friends could lead to ideas for creative projects of some kind, Aries. Although the projects themselves may center on writing, music, drama, graphics, or teaching, today's brainstorming is likely to center more on business and marketing than artistic matters. Nonetheless, you could walk away feeling inspired and motivated. Write down your ideas."
276,aries,general,20210319,"You're gifted in ways you don't even know about, Aries. Today you may uncover that gift unexpectedly. Perhaps you doodle a silly drawing in the margin of a note to a friend. Studying it reveals an idea that would be good for a children's book illustration. Perhaps there are other things you could do with your life. Research other possibilities online."
281,aries,general,20210324,"A relationship with a close partner may get a bit confused, Aries. You could react quickly to a situation without really thinking before speaking. There may be some confusion in your mind about whether to stay silent or take a more aggressive route and blurt out everything you feel. It's important that you find an equal balance of both."
284,aries,general,20210327,"Things may be coming to a dramatic climax for you, Aries. It may seem like everything is working against you. Take note that this is an excellent time to find balance and gain a much greater perspective on the issues in your life. If you're trying to figure out where your heart and brain are hiding, you should look on the opposite side of the world. They're over there discussing things together."
292,aries,general,20210404,"You may get frustrated today when people don't seem to act rationally. To you, Aries, the issues may be perfectly cut and dried. Keep in mind that not everyone sees the world the way you do. There's an element of strong emotion that's likely to play into the picture, an element that you probably failed to take into account. Make note of this as you go through your day."
299,aries,general,20210411,"A discussion could take place in your home between you, friends, and household members, Aries. A love partner may also be present. The conversation will concern controversial issues that the people feel very strongly about, so expect to hear intense debate between opposing views. Your guests will take more of an intellectual than argumentative stance, so you can relax and learn. Have fun!"
307,aries,general,20210419,"There will be a lighthearted, almost silly energy in the air today, Aries. The Universe is encouraging you to give up your iron grip on that list of responsibilities and have some fun. Picture all the pressure you put on yourself as a ball and chain that you need to unshackle. There's no reason to take yourself so seriously all the time!"
317,aries,general,20210429,"A scandal concerning a celebrity you admire could be in the news today, Aries. This might throw you for a loop. You might even suffer some disillusionment. Withhold judgment for the time being. Much of what you hear may be traced to gossip or misinformation. Shocking though it may be, you will want to hear the celebrity's side of it. Only then can you form an objective opinion."
321,aries,general,20210503,"Your strength lies in your inner resources, Aries. Today you will find that these resources have opened up within you. You will find that your emotions are calm and under control in the face of chaos. This time of new beginnings is extremely important. It would behoove you to probe your depths and fix any internal quirks that might give you trouble in the future."
384,aries,love,20200704,"Today's interplay of planetary energies creates a wonderful chance for a real romantic break. You can enjoy being with the one you love, if possible, and it may be a good idea to take time out to do something special so that you can strengthen the bond between you. If you are single, then networking this evening may yield a valuable prize."
388,aries,love,20200708,"If you don't make something quite plain, the elements of your love life could become very confused. The energy of today's astral configuration has the same effect as a very misty day, and words or certain statements made by you or your beloved could be taken in several different ways. So, it is wise to keep your wits about you if trying to get an important point across."
417,aries,love,20200806,"How often do you resist change at the times when you most need to embrace it? Today you will come to the realize what you really wanted all along. You just had to see the future possibilities in your current relationship to really begin to set it in motion. The cosmos will help you make the right decision, and everything will be for the best."
429,aries,love,20200818,"If friends seem to be posing problems today, then it may be that you need to take a look at where your interests clash. The day's planetary configuration has the effect of bringing restrictions to the surface. Are you saying what you really feel, or what you think they would like to hear? Just be mindful of where your motives actually lie. This will clarify things."
438,aries,love,20200827,"There is a strong sense of romantic passion in the air today, as well as a feeling of closeness. The day's planetary configuration indicates that you have a chance to express how you feel honestly and openly. It is also a great time to clear the air on any subject that may have become a sticking point, as there is genuine warmth and good feeling present."
454,aries,love,20200912,"You generally don't like to waste too much time talking, except if you have already decided that this is the only way you are going to get the attention of the one you secretly love. Today you have a chance to do just that, but you do need to warm up with some erudite conversation before you can get anywhere. Best get out the encyclopedia!"
464,aries,love,20200922,"This is a day that brings with it a feeling of hope. It seems that you have been pining for that perfect relationship for some time now, as well as trying out every love spell ever invented. The only problem is that nothing seems to work. Perhaps you need to communicate with some real people rather than reading about them in books. Be brave and get yourself a life!"
473,aries,love,20201001,"Today much progress can be made in the ongoing story of a certain romantic liaison. You will have a lot of scope for strengthening the bond and the sense of commitment between you. Although you may have been treating the whole thing fairly lightly, you are both only too aware that the feelings you share are growing day by day. Give love a chance!"
475,aries,love,20201003,"The influence of the planets makes today particularly intriguing. You love enigma, mystery, and especially people who remain obscure, despite your probing questions. It seems you are likely to meet someone whom you can barely resist, especially as they are so seductively charming, yet also just beyond your reach. Frustrating, to say the least; but you know you will win them over in the end."
485,aries,love,20201013,"There is an awful lot of small talk going on today. This you find infuriating but may have to go through the motions of pretending you are entirely riveted by another's conversation before you can get down to discussing the things that really matter. You like to get to the heart of the issue, whereas others need to warm up to it. Be patient!"
487,aries,love,20201015,"This is a day when you could realize just what you have been missing in a certain relationship. You notice that, while on the surface it all seems fine, there is a distinct lack of real passion. That spark that makes you pine for each other when out of each other's sight is no longer there. Now you have to decide what to do about it."
490,aries,love,20201018,"Don't get your hopes up: this is not likely to be a particularly romantic day. Most of the passion you do experience will be in terms of conversation. If you really enjoy a stimulating discussion, then you are in for an exciting day, but that is where the action will tend to remain. Still, you never know where a good conversation will lead you. There is a smidgen of hope!"
511,aries,love,20201108,"It is time to take a break from your usual punishing schedule, and to then decide on what you would like to do for an evening of fun and entertainment. Break all of your usual rules and move beyond the boundaries that keep you tied to a limited social circle. There is a whole exciting world out there to explore."
512,aries,love,20201109,"You shouldn't think about your current plan too much. The more you think, the more you tend to confuse the issue, and the more you run around in circles. Stop for a while and just relax. Take time to become calm and peaceful. Listen to your feelings, which are quite different, but which will guide you in the right direction."
525,aries,love,20201122,"Although you may find the today's energy a little too emotional, it won't hurt to talk over certain issues with your special friend. Conversation at the deepest levels is likely today, and it would a good idea to take advantage of this to clear the air concerning lingering problems; you will feel so much clearer and lighter if you can learn to share from the heart."
541,aries,love,20201208,"Work on meeting new people or start developing a whole new circle of friends. If you have been stuck in a rut for a while, then this could be the start of a new set of relationships, with the inherent possibility of meeting someone rather special. This is a time to accept the potential of possibilities rather than make excuses."
570,aries,love,20210106,"The current planetary alignment doesn't encourage real conversation. Feelings tend to be mixed, which does not make it at all easy to get any consistent message across. If you want to make the best of this occasion, then you could use the time to explain how you feel, even if you can't help being contradictory. The more fearless you are in expressing yourself, the better."
581,aries,love,20210117,"You may not exactly feel like putting on your best clothes and painting the town red tonight, although you may enjoy a more sober kind of evening out. If you are off on a date, then this may be a serious occasion, so don't take it that this is how it will always be. Give each other a chance and be patient. Next time will be great fun."
628,aries,love,20210305,"There is no way you are going to get to meet that special person if you insist on only making contact with one particular group of friends who live in one particular area. The planetary alignment means that you would be well advised to start being a bit more curious and investigative about life. See it as a grand adventure, and everyone you meet as fellow adventurers. Be bold."
632,aries,love,20210309,"Today's position of the planets gives you the chance to get a few things off your chest and to begin to breathe again as far as your current relationship is concerned. If you are not happy about the ways things have been going, and are beginning to feel that you have reached a limit beyond which you are no longer willing to go, then take heart. Do something now."
638,aries,love,20210315,"Today's position of the planets may mean you have a certain sense of gravity concerning your relationship. There may not be anything particularly wrong with it, but you feel you need time to reflect on your motives, on all the different aspects and challenges that it presents, and also to consider all that is truly positive. You will emerge from today's perusals feeling stronger and clearer about it all."
641,aries,love,20210318,"Today's position of the planets means that you and your partner (current or prospective) can have a great time together, as long as you do any kind of activity that is different from the norm. You need to break with any routine, as far as your love life and dating habits are concerned, and take the more unusual and original route. Start by dressing in a new way - recreate yourself and have fun!"
642,aries,love,20210319,"Today has all the ingredients of a storybook romance. There is passion, adventure, and the chance to go to places you have never been before. You pose the only obstacle, as you enjoy the stability of your comfort zone. If all of this seems daunting, then stay in and watch a romantic movie instead of experiencing the dizzying extremes of life firsthand."
647,aries,love,20210324,"You may be very popular today, with a little help from the planets. But maybe your partner (current or prospective) is urging you to do way too much chatting, when you would rather be doing something useful. Perhaps the answer to your romantic dilemma is to communicate your feelings by showing how much you care, rather than talking about it. This could get you the result you are after."
650,aries,love,20210327,The planetary alignment may bring about a situation that you find confusing. It seems that someone you have been close to in the past could have been whispering in the ear of someone you are close to at present. You realize that what they are telling your latest love is really a pack of lies - but how do you make your love interest believe you?
658,aries,love,20210404,"The planetary alignment enlivens your outlook, and brings a feeling of optimism regarding your latest romantic endeavors. There is certainly nothing ordinary about the events of today, or the people you are likely to meet. You may find one person in particular not only devastatingly attractive, but also of a sound, original, and witty mind, which for you, is like a red cloak to a bull."
665,aries,love,20210411,"Something needs to be sorted out today, and with the current celestial atmosphere, it seems certain that this in turn will lead to changes within the relationship. Whether you intend to have the conversation that ensues, or whether something triggers it, it will certainly address a whole lot of issues that have needed to be discussed for some time. Make use of this opportunity to clear the air."
673,aries,love,20210419,"The present planetary alignment suggests that you may need to be careful in your interactions today, as you could be prone to taking things the wrong way, and so alienating yourself from a loved one. Your feelings are far more volatile than normal, so perhaps it would be better to take some time out alone to do something special, and give each other a break."
683,aries,love,20210429,"Today's planetary transits make for some animated and very interesting conversation - the kind that changes things between people, and that could make quite a difference to the way you relate to each other. Whether you decide that something needs discussion, or whether this comes up naturally, you will certainly iron out a few wrinkles and smooth out a few ruffled feathers. You may want to celebrate a breakthrough."
687,aries,love,20210503,"You need your wits about you, plus the ability to be a little determined if you want to capture someone's heart today. The position of the planets gives you the audacity to make a bold move, but possibly not before you have spent some time agonizing over whether you are doing the right thing or not. Wear warm and zesty colors, and arrange to meet them somewhere special."
750,aries,career,20200704,The world around you is going faster than you are comfortable with. Be sure to take some time alone today in order to cool down and give yourself a break from the whirlwind of energy around you. You need a mental time-out from the insanity.
754,aries,career,20200708,"Close the door on old projects so you can make way for new ones. You have many loose ends right now that are causing mental clutter whether you realize it or not. Delegate your work, tackle it yourself with fresh eyes, or toss it out completely."
783,aries,career,20200806,"There is wonderful grounding energy in the air that will help balance out your fanciful nature. This strong stabilizing influence will help you manifest your ideas and get them working on a physical plane. In short, you will accomplish a great deal."
795,aries,career,20200818,You will be engaged in a difficult dance with someone. You are waiting for someone else to make up his or her mind while this other person is waiting for you to do the same. A stalemate will result. You are better off postponing all decisions.
804,aries,career,20200827,"Your head is spinning, and it is hard for you to get control of your mind. Slow down and take a few deep breaths. Try not to get frustrated. Good communication with others will be the key to sorting out your wild ideas and sporadic thoughts."
820,aries,career,20200912,You are better off riding the wave of exuberance than trying to fight it. There is electricity in the air that you can benefit from if you are willing to adjust your viewpoint. Don't turn your back on something that you know will be successful.
830,aries,career,20200922,"Today you can finally set the record straight. Over the past three weeks, the crazy cosmos has been putting monkey wrenches in your plans. The confusion ends today, so feel free to celebrate at this time."
839,aries,career,20201001,"Even though the week is winding down to a close, this doesn't mean that you should let the quality of your work slide. Maintain a high standard at all times. The work you do today will be noticed - so be sure you are on your best behavior."
841,aries,career,20201003,"The best way to heal yourself from the past week is to talk with others. Sharing your experiences, conversations, and relations with other people will be extremely beneficial. It will ease your burden and make the next week go much smoother."
851,aries,career,20201013,"You will be in good favor with the people around you and this will most certainly set the stage for a very efficient and productive workday. In general, others are on the same wavelength as you. Yesterday's confusion will dissolve."
853,aries,career,20201015,"Someone's attitude is making it hard for you to work effectively with him or her. You would like to develop a friendship or at least a certain camaraderie with this person, yet he or she would rather keep the relationship on a more surface level."
856,aries,career,20201018,"Whether you are at work or not, this will be a very productive day for you. You will be able to gather resources and information together in a very efficient way, creating a recipe for great success. Apply this recipe to whatever you are doing."
877,aries,career,20201108,"This a time for you to make peace with yourself and with others regarding workplace issues. If you aren't at work today, this is fine. Use this day to develop a plan for how you can create better harmony between you and the people you work with."
878,aries,career,20201109,Wonderful opportunities will fall into place for you as long as you are willing to cooperate with others. Trying to do everything by yourself will simply not work. Don't be stubborn now. Start the week off on a harmonious note - not a selfish one.
891,aries,career,20201122,This is a good day for you to concentrate on career issues even if you don't have to be at work. You have a clear understanding of what you want and how to get it. The gears in your head are turning in a positive direction. Momentum is generating.
907,aries,career,20201208,"Don't be too sluggish today - your boss is keeping track. Pick up the pace of your work or else you will be left behind. As uncomfortable as it might seem, don't be afraid to take some risks. The leaps of faith you take today will most certainly pay off."
936,aries,career,20210106,Confusion will arise around mid-day and will most likely set you back if you are not prepared to deal with it. Set your plan during the beginning of the day and then use the afternoon to follow through. Plans initiated mid-day will most likely flop.
947,aries,career,20210117,"Other people's ideas may seem completely foreign to you today. Your first reaction will be to dismiss them completely. Don't be too hasty to do so. You can learn a great deal from the wisdom of others. Right now, you should be listening closely."
994,aries,career,20210305,"This will be a busy day for you, but that is fine. You will use the energy given to you to accomplish a great deal - in many different areas. Tackle many small, short errands. Knock them off your list one by one. You will be quite efficient."
998,aries,career,20210309,The burst of energy that you have been hoping for finally comes - but probably not until later in the day. Play it cool in the morning but grab the reins in the afternoon. You will feel reborn and ready to take on new challenges with great confidence.
1004,aries,career,20210315,Take hold of a situation that is going nowhere. You may notice that there is stagnation related to your work thanks to someone's inability to make up his or her mind about a specific issue. This is your time to step in and flex your muscles.
1007,aries,career,20210318,You will have to re-arrange your schedule in order to fit in everything that you need to. Something is taking longer than you thought and something else won't take any time at all. Being flexible is the only way you will ride out this day with ease.
1008,aries,career,20210319,"A burst of power comes your way and you are able to transform an extremely unhealthy situation into a positive one. Others may think you have magical powers, judging by the way you are able to turn a difficult situation into a triumphant one."
1013,aries,career,20210324,"The truth is very blurred, and facts are only going to get more confusing as the day wears on. The more people you talk to, the more bewildered you will become. Try not to make any major decisions at this time. Wait until the path is clearer."
1016,aries,career,20210327,You are feeling recharged - as if you have been reborn. Your mindset tells you to be brave and fearless. You have an innocence about you that makes it seem as if you are seeing the world for the first time. Enjoy this wonderful state of mind.
1024,aries,career,20210404,"You are more accident prone than usual at work, so be careful. Make sure you have a first aid kit handy, or at least know where one is in case you need it during a time of emergency. Take extra precautions as you move throughout your workday."
1031,aries,career,20210411,"If you play your cards right during the beginning of the day, you can have someone important eating out of your hand. Be alert and attentive during your dealings with others and you will have an edge over everyone else who is sluggish and groggy."
1039,aries,career,20210419,"Your physical energy becomes sluggish today, and unfortunately, this trend will continue through the next few months. There will be times when you are feeling strong, but overall, you may feel as if you are trying to run with a ball and chain on."
1049,aries,career,20210429,"You will feel a strong connection to the people around you and this will pave the way for better relations in the workplace overall. Communication is strong and you will find that the more you talk, the more bonded you will feel to those around you."
1053,aries,career,20210503,"Be careful with your money. Stay away from commercial stores, avoid online shopping sites, and, if you must do some shopping, take only a minimum amount of money with you and leave your credit cards at home. If you don't, you could succumb to the temptation."
1116,aries,wellness,20200704,"The tendency to nurture others can be a liability for you. Unless you are a paid professional during office hours, taking care of yourself first is your foremost responsibility. Even parents need to focus on themselves if they are going to be proper role models for their children. If you need someone to nurture, look in the mirror! You are a wonderful listener: ask your reflection what it needs and hop to it! It may take a little practice, but you can do it."
1120,aries,wellness,20200708,"A lot of emphasis is put on diet these days - choosing the freshest foods available and preparing a variety of healthy meals so that all your nutritional bases are covered is key. Another important part of diet is to eat slowly and chew your food carefully. Apart from avoiding the risk of choking, well-chewed food helps us avoid over-taxing our digestive glands. Many people who gulp down their food over-work their glands and find that they stay ""hungry"" even after eating!"
1149,aries,wellness,20200806,"A great deal of emotional energy is at hand due to today's planetary positions, and no one will feel it more poignantly than you! Your natural inclination to take care of others is tapped by this placement and your emotional attachment to people close to you will grow more intense during these few days. To help some of the intense energy dissipate make it a point to get some exercise every day - preferably in the morning."
1161,aries,wellness,20200818,"Be on the lookout for issues that flair up around friends and family these days. You may be open to new ideas and new ways of thinking, but don't let this ""open-mindedness"" get you into trouble. The aspect of the day will typically bring up some boundary issues. You have the right to say ""no"" when a boundary is being crossed. And you are the one who sets the boundaries! Practice yoga or meditation to stay on top of your best interests."
1170,aries,wellness,20200827,"The aspect of the day gives you the power to express yourself emotionally with the people you care about. Rather than wondering whether your emotions will be accepted or validated, express yourself with abandon and really let your friend know how you are feeling. It never turns out as bad as your fears tell you it will! Get your blood flowing with some aerobic exercise and try to understand what you are feeling yourself before you try to communicate it to someone else. Have courage!"
1186,aries,wellness,20200912,"Your feelings will guide you if you will let them. There is a temptation to go the route that will win the most approval, but it would be in your best interest to start opening up to approval from within. Getting to do what you want is an option you give yourself - it has nothing to do with outside approval. Thus, consider your body and how you feel in it today. Is there some nagging health issue that you wish were not there? Begin by addressing your problem areas."
1196,aries,wellness,20200922,"Have you noticed that the more you think about dietary concerns, the more relaxed you are about choosing what you eat? If you are prepared ahead of time to handle the daily decisions about what you will and won't accept in your diet, the choosing is much easier. You know throughout the day that you are planning on having a healthy body to feel good about and enjoy. Making the connection between loving yourself and the food that you eat is the first step."
1205,aries,wellness,20201001,"With so much fiery energy coming your way from the celestial configuration, you won't have any trouble accessing your charming personality! Use this energy to diversify your exercise routine. Any aerobic exercise you do will practically send you through the roof. You may want to turn to yoga or some other kind of deep stretching exercise that will bring some of this heat into your muscles, melt them a little, and help them stretch and lengthen."
1207,aries,wellness,20201003,"Today's planetary configuration can help you get stuck. Creative solutions will abound if you listen to your inner voice. Learning how to depend on yourself for what you need is important. There are some things that only you can work out, like how you take care of yourself physically. If you are someone who likes to be with people, join a team or plan an exercise routine with a friend, if possible, and stick to it together."
1217,aries,wellness,20201013,"Ask yourself what you need to feel really comfortable in your body. Do you need to be in better physical condition? Do you need to feel stronger, have more flexibility, feel lighter or heavier? The way we live inside our bodies has everything to do with how we treat others and how we let others treat us. Unless we exist in a physical reality to our liking, it is difficult to create the emotional reality that we desire."
1219,aries,wellness,20201015,"You tend to deal with confusion by ignoring it. You are naturally territorial, and confusion does not mix well with your instincts! Going deeper into yourself is a necessary practice for someone with your nature. You need to attempt to recognize your emotional response to confusion, otherwise you will constantly feel ""beaten up"" by those around you who get frustrated by your apparent insouciance. Recommended health practices: yoga, martial arts and meditation."
1222,aries,wellness,20201018,"Structure in your health habits will be important to maintain during the next few weeks. Pattern your behavior one day upon the next, adhering to a basic program. Your program must include a very good night's rest, a minimum of eight large glasses of water each day, and a great deal of fresh produce in your diet. This is not a lot to do for your body, considering how much it does for you without complaint! But if your body does complain, be sure to take it seriously."
1243,aries,wellness,20201108,"You can be extremely conscientious regarding your diet when you put your mind to it. Think of the lion out in the wild. Only the freshest ""kill"" will do for a lion and her cubs. When it comes to feeding her little ones, she lets nothing stand in her way. Try using this feline mentality when you visit your local organic grocer. Go up to the clerks and ask which vegetables are freshest and treat yourself to the best the land has to offer."
1244,aries,wellness,20201109,"You love the frisky feeling exercise gives you, although you can also be terribly lazy! There is no judgment going on here, just try to be aware that you stand to gain a lot of joy and energy from doing just a little bit more exercise than you are currently doing! Don't do anything drastic; just increase what you do already. If you don't do anything, try walking rather than driving or take the stairs rather than the elevator. Take your time but increase your movement."
1257,aries,wellness,20201122,"The aspect of the day, metaphorically speaking, could be seen as the inventive and creative mother who can please and fascinate her children. What a perfect time to take your body into account and notice how you nourish it. Having a body is like having a child, in a way: we must notice and nourish it each and every day. The best way to begin to notice your body is to listen to it without judgment. If you do this, it will begin to tell you what it wants."
1273,aries,wellness,20201208,"A new outlook is possible today - things that you do every day may seem somehow different - enjoy this fresh perspective! It's important to be flexible and to listen for the inner voice that tells you when to bend and when to walk away from a situation. You often comply in situations when someone else will benefit - ask yourself what you really need, instead. When it comes to what you eat, it's wise to give your intestinal tract a break from bread and dairy products."
1302,aries,wellness,20210106,"Your ability to instigate new things is well known. With the predominant energy today, you are especially tuned into a ""new and improved"" way of doing things. You will feel inspired to regenerate the old and find a fresh new way to direct your energies. To enhance this process, pay special attention to your diet. Fresh fruits and vegetables and low caffeine intake are highly recommended, as is substituting fish for red meat."
1313,aries,wellness,20210117,"The sensitive side of your nature desires what's best for those you love - there is a deep feeling of ""I would die for you"" running through you with regard to your loved ones and your children. This intense emotion can be channeled into a more productive vein: caring for your body as though it were a loved one. Taking care of all its needs can be quite satisfying. This is ultimately nurturing for EVERYONE! Your life certainly does depend on your body."
1360,aries,wellness,20210305,"You may feel frustrated by the judgments that your mind produces. The aspects today invite us to be compassionate with ourselves and others, yet your sign is so dedicated to fairness that you may find it difficult to be compassionate when someone or something is just plain ""wrong"" in your eyes. Step back and take a break from this kind of situation. Swimming would be recommended now, in order to feel your own weightlessness while you exercise out those frustrations."
1364,aries,wellness,20210309,"Though you may sense the challenges more than the joys of life today, try to get through the rough road by sitting high in the saddle! Yes, only strength and determination will conquer doom and gloom. I would recommend making exercise a priority, but it's OK to go light. If there's something you can do that is more fun than your regular routine - a game of tennis rather than your usual run - it would be a good move."
1370,aries,wellness,20210315,"Take a look at what matters most to you in the world. Somewhere on your list is probably a sense of well-being for all, and a safe community for our children to grow up in. One of the ways you can balance your own needs and the needs of the community is through participation in organic farming. Consider getting knowledgeable about the issues surrounding organic farming. Being aware of what you can do will add to your sense of well-being. Buying organic is a political statement as well as a nutritional one!"
1373,aries,wellness,20210318,"In order to be an active thinker, it helps to keep an active body. Especially for a sign which tends to get bogged down by the inequalities of everyday life. Try thinking of exercise as something the body deserves. When your mind wants to talk you out of it or wants to convince you that procrastination is OK, remember that the body can be ignored by the mind (up to a point) and you must be the champion of the silent and oppressed! It's only fair."
1374,aries,wellness,20210319,"There could be some rejection from within to ""doing the right thing."" It is important to understand this resistance and to take measures to handle it. For instance, if you feel that eating only rich foods will satisfy you today - try choosing a salad that has rich ingredients. Or, if exercise is not on your program, elect to take a short walk after a meal. As you make these small compromises, you will have given your ""evil twin"" some feedback, and a heated discussion is likely to ensue!"
1379,aries,wellness,20210324,"Today you may want two opposite things at the same time: a good workout followed by some chocolate cake! Crazier things have happened! The planetary alignment impels you to desire comfort and security (your usual routine, comfort from approval and other good feelings) on one hand, yet on the other, you think it would be erotic and fun to stay up late and do things that give immediate, ""sinful"" pleasure. The challenge is to find the middle ground and suspend judgment."
1382,aries,wellness,20210327,"When you decide to make a habit of something, it's as though you've turned a page in a book. You will find an excellent resource in today's energy for creating healthy practices in diet and exercise. It may not seem like much at first, but when you decide to reduce dairy in your diet and increase the amount of water you consume, you have started down the path to a much healthier immune system. Your power lies in evaluation and action."
1390,aries,wellness,20210404,"The cosmic climate gives you the emotional security to pick and choose what you want. Whom you communicate with, what you have for dinner, when you go to bed - these desires are made clearer at this time. On the other hand, be on the lookout that certain areas of your life don't fluctuate with your changing moods. You should try to exercise at least three times a week. If you fail to do so because you ""just weren't in the mood,"" I guarantee your mood will worsen."
1397,aries,wellness,20210411,"You can't hold a grudge for too long - it's too involved in seeking out the higher truth of the matter. Likewise, you won't be caught on some trendy diet for too long - you're too interested in working towards a balanced lifestyle that involves healthy practices that nobody's last name belongs on. You know the routine: lots of water, seasonal local produce, low on carbohydrates, low on protein, lots of rest. Moderation in all things, including moderation!"
